numeroChip,fecha_nacimiento,fecha_implantacion,sexo,raza,aptitud,provincia,municipio
724098100270775,24/03/2000,04/01/2001,H,LABRADOR RETRIEVER - COBRADOR DEL LABRADOR - RETRIEVER DE LABRADOR,LUJO Y COMPAÑIA,MADRID,MADRID
117622797A,06/11/1998,02/02/1999,H,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,GUARDA DEFENSA Y UTILIDAD,PALENCIA,VILLOLDO
131272320A,12/12/1998,24/03/2000,M,BICHON MALTES - MALTESE,LUJO Y COMPAÑIA,BURGOS,VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA
985100008261069,24/03/1999,07/07/2000,M,SABUESO ESPAÑOL,CAZA,CANTABRIA,CASTRO-URDIALES
124877243A,14/08/1999,03/12/1999,H,MASTIN DEL PIRINEO,LUJO Y COMPAÑIA,BURGOS,MIRANDA DE EBRO
127948120A,23/03/2001,11/07/2001,M,SETTER INGLES - ENGLISH SETTER,CAZA,NAVARRA,DICASTILLO
127547130A,01/01/2000,16/07/2001,M,EUSKAL ARTZAIN TXAKURRA (ILETSUA-GORBEIAKO) - PERRO PASTOR VASCO,LUJO Y COMPAÑIA,NAVARRA,ZUGARRAMURDI
985100010087136,18/12/2000,02/08/2001,H,SAMOYEDO - SAMOIEDSKAÏA SABAKA,LUJO Y COMPAÑIA,NAVARRA,CÁSEDA
985100009661165,04/02/2000,20/07/2001,H,SETTER INGLES - ENGLISH SETTER,CAZA,NAVARRA,GOIZUETA
127644563A,01/05/2000,03/08/2001,M,EUSKAL ARTZAIN TXAKURRA (ILETSUA-GORBEIAKO) - PERRO PASTOR VASCO,LUJO Y COMPAÑIA,MADRID,MADRID
127639326A,01/06/2001,01/08/2001,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,MADRID,MADRID
130935654A,09/02/2001,29/03/2001,H,YORKSHIRE TERRIER,LUJO Y COMPAÑIA,CANTABRIA,CASTRO-URDIALES
985100008470870,01/08/2000,23/08/2001,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,NAVARRA,MENDAVIA
985100005651521,01/08/2000,25/08/2001,M,YORKSHIRE TERRIER,LUJO Y COMPAÑIA,LA RIOJA,LOGROÑO
127969527A,03/01/2001,26/02/2001,H,BULL TERRIER INGLES,LUJO Y COMPAÑIA,CORUÑA (A),ARTEIXO
985100008246672,06/05/2000,07/08/2000,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,LA RIOJA,HARO
985100008043665,17/04/1999,03/09/2000,H,BOXER,LUJO Y COMPAÑIA,CANTABRIA,CASTRO-URDIALES
985100008258196,13/09/1999,26/02/2000,H,ROTTWEILER,LUJO Y COMPAÑIA,ASTURIAS,LLANES
985100008131379,14/02/2000,29/09/2000,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,ZARAGOZA,TARAZONA
127357361A,08/11/1999,14/03/2000,M,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,LUJO Y COMPAÑIA,CANTABRIA,GURIEZO
985100009686063,10/06/2001,30/07/2001,M,MALAMUTE DE ALASKA - ALASKAN MALAMUTE,LUJO Y COMPAÑIA,SALAMANCA,VILLARMAYOR
2055665550,01/08/1999,16/02/2001,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,GUARDA DEFENSA Y UTILIDAD,ASTURIAS,LLANES
985100008351776,01/09/2000,01/09/2000,M,YORKSHIRE TERRIER,LUJO Y COMPAÑIA,LA RIOJA,LOGROÑO
985120005899865,10/05/2001,04/07/2001,M,SETTER INGLES - ENGLISH SETTER,CAZA,ALMERIA,NÍJAR
724098101155164,03/04/2001,06/09/2001,H,PERRO DE AGUA ESPAÑOL,LUJO Y COMPAÑIA,CANTABRIA,CASTRO-URDIALES
985100009724828,15/02/2001,22/08/2001,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,BURGOS,BURGOS
985100010054332,01/01/1988,20/07/2001,M,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,LUJO Y COMPAÑIA,BARCELONA,CAPELLADES
116976446A,03/11/1998,25/02/1999,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,CANTABRIA,SANTANDER
724098100257634,18/01/2000,20/01/2001,M,CHOW CHOW  (OSITO DE PELUCHE),LUJO Y COMPAÑIA,ALICANTE ,CALPE/CALP
724098100251967,19/06/2001,19/06/2001,H,GOLDEN RETRIEVER - COBRADOR DORADO,LUJO Y COMPAÑIA,MADRID,MADRID
724098100288397,17/04/2001,30/06/2001,H,GOLDEN RETRIEVER - COBRADOR DORADO,LUJO Y COMPAÑIA,NAVARRA,VILLATUERTA
724098100284956,17/04/2001,13/07/2001,M,GOLDEN RETRIEVER - COBRADOR DORADO,LUJO Y COMPAÑIA,NAVARRA,PAMPLONA/IRUÑA
985100010053796,24/07/2001,24/07/2001,H,FOX TERRIER - SMOOTH (PELO LISO) - SMOOTH FOX TERRIER,LUJO Y COMPAÑIA,CANTABRIA,CASTRO-URDIALES
985100010059689,16/05/2001,16/07/2001,M,YORKSHIRE TERRIER,LUJO Y COMPAÑIA,NAVARRA,PAMPLONA/IRUÑA
985100010056463,10/03/2001,04/07/2001,H,YORKSHIRE TERRIER,LUJO Y COMPAÑIA,CORUÑA (A),FERROL
985100009685321,16/03/2001,06/06/2001,M,CANICHE - POODLE,LUJO Y COMPAÑIA,BURGOS,VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA
985100009704110,01/05/2000,11/04/2001,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,MADRID,MADRID
985100009567387,18/07/1999,14/04/2001,M,BOBTAIL - OLD ENGLISH SHEEPDOG - ANTIGUO PERRO DE PASTOR INGLES,LUJO Y COMPAÑIA,LA RIOJA,ARNEDO
985120005628614,24/11/1995,27/02/2001,H,COCKER SPANIEL INGLES - ENGLISH COCKER SPANIEL,LUJO Y COMPAÑIA,CANTABRIA,SANTANDER
985120006714544,05/08/1999,02/02/2001,H,COCKER SPANIEL INGLES - ENGLISH COCKER SPANIEL,LUJO Y COMPAÑIA,CANTABRIA,SANTANDER
724098100231747,21/09/1999,11/12/2000,H,SHIH TZU,LUJO Y COMPAÑIA,CANTABRIA,SANTANDER
724098100232110,21/09/1999,11/12/2000,H,SHIH TZU,LUJO Y COMPAÑIA,CANTABRIA,SANTANDER
724098100235327,25/12/1995,11/12/2000,H,YORKSHIRE TERRIER,LUJO Y COMPAÑIA,CANTABRIA,SANTANDER
985120005570577,28/02/2000,11/12/2000,M,YORKSHIRE TERRIER,LUJO Y COMPAÑIA,CANTABRIA,SANTANDER
985100009684414,17/04/2001,14/06/2001,M,BULLDOG INGLES,LUJO Y COMPAÑIA,CANTABRIA,CASTRO-URDIALES
985120005785581,28/01/2000,02/02/2001,H,COCKER SPANIEL AMERICANO - AMERICAN COCKER SPANIEL,LUJO Y COMPAÑIA,CANTABRIA,SANTANDER
724098101161455,13/08/1999,18/08/2001,M,PIT BULL TERRIER,LUJO Y COMPAÑIA,CANTABRIA,CASTRO-URDIALES
724098100283044,22/10/2000,19/03/2001,H,COCKER SPANIEL INGLES - ENGLISH COCKER SPANIEL,LUJO Y COMPAÑIA,CANTABRIA,CASTRO-URDIALES
724098100220134,04/01/2000,15/06/2001,H,SETTER INGLES - ENGLISH SETTER,CAZA,CORUÑA (A),CORUÑA (A)
124511145A,08/03/1998,06/04/1999,H,ROTTWEILER,LUJO Y COMPAÑIA,MADRID,MADRID
125411652A,01/02/1996,25/01/2000,M,MASTIN DEL PIRINEO,LUJO Y COMPAÑIA,CANTABRIA,MEDIO CUDEYO
985100009973685,17/05/1999,15/05/2001,H,HUSKY SIBERIANO - SIBERIAN HUSKY,LUJO Y COMPAÑIA,CANTABRIA,CASTRO-URDIALES
985100008395706,26/04/2000,12/10/2000,M,BOXER,GUARDA DEFENSA Y UTILIDAD,CANTABRIA,LIENDO
125226320A,14/03/1999,06/07/1999,M,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,PASTOR,LA RIOJA,BADARÁN
7F7D145A1F,01/01/2001,01/01/2001,H,BEAGLE,CAZA,NAVARRA,ARBIZU
985100008488081,21/05/2001,20/07/2001,H,SPITZ LULU DE POMERANIA - LULU DE POMERANIA,LUJO Y COMPAÑIA,CACERES,DESCARGAMARÍA
126828367A,28/05/2001,30/09/2001,M,BEAGLE,LUJO Y COMPAÑIA,BURGOS,BURGOS
226D19636A,01/01/2000,01/01/2000,M,YORKSHIRE TERRIER,LUJO Y COMPAÑIA,NAVARRA,ARANTZA
985100009724709,30/03/2001,15/06/2001,H,COCKER SPANIEL INGLES - ENGLISH COCKER SPANIEL,LUJO Y COMPAÑIA,NAVARRA,BERA/VERA DE BIDASOA
985100009861471,13/07/2001,05/10/2001,H,BICHON MALTES - MALTESE,LUJO Y COMPAÑIA,BURGOS,MIRANDA DE EBRO
985100009864121,02/08/2001,05/10/2001,H,BICHON MALTES - MALTESE,LUJO Y COMPAÑIA,NAVARRA,ALTSASU/ALSASUA
985100005650124,17/03/2001,11/09/2001,H,SETTER INGLES - ENGLISH SETTER,CAZA,NAVARRA,ARAITZ
985100006015760,17/03/2001,11/09/2001,H,SETTER INGLES - ENGLISH SETTER,CAZA,NAVARRA,ARAITZ
985100006015851,04/02/2001,31/08/2001,M,SETTER INGLES - ENGLISH SETTER,CAZA,NAVARRA,LEITZA
127637114A,09/11/1997,06/10/2001,M,COCKER SPANIEL INGLES - ENGLISH COCKER SPANIEL,GUARDA DEFENSA Y UTILIDAD,NAVARRA,LEITZA
985100009763391,24/06/2001,14/08/2001,H,YORKSHIRE TERRIER,GUARDA DEFENSA Y UTILIDAD,ALICANTE ,TORREVIEJA
130911563A,24/02/2001,23/03/2001,M,HUSKY SIBERIANO - SIBERIAN HUSKY,LUJO Y COMPAÑIA,CANTABRIA,CASTRO-URDIALES
130964680A,24/02/2001,23/03/2001,M,HUSKY SIBERIANO - SIBERIAN HUSKY,LUJO Y COMPAÑIA,CANTABRIA,SANTANDER
985100009724592,03/08/2001,03/10/2001,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,NAVARRA,BERA/VERA DE BIDASOA
985100009755104,11/08/2001,11/09/2001,M,SETTER INGLES - ENGLISH SETTER,CAZA,NAVARRA,BERA/VERA DE BIDASOA
724098101156018,15/03/2001,08/08/2001,H,SETTER INGLES - ENGLISH SETTER,CAZA,MADRID,MADRID
724098101159128,15/03/2001,08/08/2001,M,SETTER INGLES - ENGLISH SETTER,CAZA,MADRID,MADRID
985100009704264,28/01/2001,04/06/2001,H,SCHNAUZER MINIATURA - ZWERGSCHNAUZER,LUJO Y COMPAÑIA,BALEARS (ILLES),PALMA DE MALLORCA
985100009702599,20/04/2001,14/06/2001,M,SETTER INGLES - ENGLISH SETTER,CAZA,SORIA,SAN PEDRO MANRIQUE
985100009559063,28/01/2001,23/04/2001,M,SCHNAUZER MINIATURA - ZWERGSCHNAUZER,LUJO Y COMPAÑIA,TOLEDO,SANTA CRUZ DE LA ZARZA
985100008371710,18/09/2000,21/08/2001,H,EPAGNEUL BRETON - SPANIEL BRETON,CAZA,BURGOS,VALLE DE MENA
985100010024662,05/02/2000,26/07/2001,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,BURGOS,ESPINOSA DE LOS MONTEROS
985100008147748,25/06/2000,03/08/2001,H,HUSKY SIBERIANO - SIBERIAN HUSKY,LUJO Y COMPAÑIA,CANTABRIA,PIÉLAGOS
724098101151974,01/06/2001,25/09/2001,H,MASTIN ESPAÑOL,GUARDA DEFENSA Y UTILIDAD,VALLADOLID,VALLADOLID
724098101169482,19/06/2001,24/09/2001,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,BARCELONA,BARCELONA
985100009790465,06/01/1997,09/11/2001,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,CANTABRIA,SANTANDER
985100009862171,01/01/1999,15/10/2001,M,SETTER INGLES - ENGLISH SETTER,CAZA,BADAJOZ,MÉRIDA
985100010053082,24/05/2001,02/08/2001,H,GRIFFON BLEU DE GASCOGNE - GRIFON AZUL DE GASCUÑA,LUJO Y COMPAÑIA,VALLADOLID,VALLADOLID
982009100365615,01/01/1998,20/08/2001,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,NAVARRA,BAZTAN
985100009866995,01/01/2000,26/09/2001,M,EPAGNEUL BRETON - SPANIEL BRETON,CAZA,LA RIOJA,AGONCILLO
985100010024097,01/05/2000,24/10/2001,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,NAVARRA,GOIZUETA
985100006014342,01/04/2001,24/09/2001,M,SETTER INGLES - ENGLISH SETTER,CAZA,NAVARRA,LESAKA
"9,85100001005493E+015",20/06/2001,02/08/2001,M,WEST HIGHLAND WHITE TERRIER - WESTY - WESTIE,LUJO Y COMPAÑIA,CORDOBA,CÓRDOBA
985100009794107,11/05/2001,01/10/2001,M,ROTTWEILER,LUJO Y COMPAÑIA,MADRID,MADRID
985100009777842,01/08/2001,13/10/2001,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,GUARDA DEFENSA Y UTILIDAD,CANTABRIA,BÁRCENA DE CICERO
985100009803819,22/09/2001,05/11/2001,H,CANICHE - POODLE,LUJO Y COMPAÑIA,ASTURIAS,GIJÓN
985100005650112,04/07/2001,02/10/2001,H,YORKSHIRE TERRIER,LUJO Y COMPAÑIA,CORUÑA (A),CORUÑA (A)
404EGE0A08,11/02/1998,04/10/2001,M,SETTER INGLES - ENGLISH SETTER,CAZA,NAVARRA,GOIZUETA
985100009808125,10/07/2001,24/08/2001,H,CANICHE - POODLE,LUJO Y COMPAÑIA,MADRID,COLLADO VILLALBA
985100009665400,07/09/2001,04/11/2001,H,COCKER SPANIEL INGLES - ENGLISH COCKER SPANIEL,LUJO Y COMPAÑIA,BURGOS,MEDINA DE POMAR
985100009830767,19/08/2001,10/10/2001,M,BOXER,LUJO Y COMPAÑIA,ALMERIA,HUÉRCAL DE ALMERÍA
985100010109646,01/05/2000,06/11/2001,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,CAZA,NAVARRA,ARIBE
985120007028099,02/05/2000,10/07/2001,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,BURGOS,BURGOS
985120005832459,10/05/2001,22/09/2001,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,BARCELONA,BEGUES
724098101174732,01/08/2000,12/07/2001,H,BRACO ALEMAN - DRATHAR - DRAHTHAAR - DEUTSCH DRAHTHAAR,CAZA,LA RIOJA,SANTO DOMINGO DE LA CALZADA
985100009711150,20/10/2000,06/06/2001,M,SETTER GORDON ESCOCES - GORDON SETTER,CAZA,GUADALAJARA,FONTANAR
724098101156459,08/05/2001,07/11/2001,M,SETTER INGLES - ENGLISH SETTER,CAZA,BURGOS,OÑA
127533734A,01/01/2000,17/03/2001,M,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,GUARDA DEFENSA Y UTILIDAD,MADRID,VALDEMORILLO
131264112A,01/01/1996,26/09/2000,H,SETTER INGLES - ENGLISH SETTER,CAZA,BURGOS,JUNTA DE OTEO
131249290A,20/05/1999,20/05/1999,H,AKITA INU,LUJO Y COMPAÑIA,BADAJOZ,CASTUERA
130935310A,01/01/2000,04/01/2001,M,PERRO DE CASTRO LABOREIRO - CÃO DE CASTRO LABOREIRO,CAZA,LA RIOJA,RODEZNO
131115372A,01/01/2000,21/09/2000,M,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,LUJO Y COMPAÑIA,BURGOS,CASTRILLO MATAJUDÍOS
131256097A,01/02/1998,18/10/2000,M,SETTER INGLES - ENGLISH SETTER,CAZA,VALENCIA,VALENCIA
131167216A,15/01/1999,06/10/2000,M,BOXER,LUJO Y COMPAÑIA,LA RIOJA,HARO
131351294A,10/10/1997,18/10/2000,H,SHIBA INU,LUJO Y COMPAÑIA,LLEIDA,VILANOVA DE MEIÀ
131276153A,20/04/2000,02/10/2000,M,EPAGNEUL BRETON - SPANIEL BRETON,CAZA,NAVARRA,OLAZTI/OLAZAGUTÍA
127637647A,28/09/2000,26/10/2000,H,BRACO ALEMAN - DRATHAR - DRAHTHAAR - DEUTSCH DRAHTHAAR,CAZA,BURGOS,VILLANUEVA DE TEBA
127549350A,01/06/2000,22/05/2001,M,SETTER INGLES - ENGLISH SETTER,CAZA,BURGOS,MIRANDA DE EBRO
130925225A,01/10/2000,06/03/2001,M,SETTER INGLES - ENGLISH SETTER,CAZA,CANTABRIA,VALLE DE VILLAVERDE
127944217A,09/07/1997,16/06/2001,H,SETTER INGLES - ENGLISH SETTER,CAZA,SEVILLA,VALENCINA DE LA CONCEPCIÓN
127618697A,20/07/2001,20/07/2001,M,SAMOYEDO - SAMOIEDSKAÏA SABAKA,LUJO Y COMPAÑIA,BURGOS,BURGOS
127611485A,01/01/1998,04/01/2001,H,PODENCO ANDALUZ,CAZA,LA RIOJA,ALBERITE
130911293A,26/06/1999,09/12/2000,H,HUSKY SIBERIANO - SIBERIAN HUSKY,LUJO Y COMPAÑIA,BURGOS,CONDADO DE TREVIÑO
127964725A,28/07/2001,17/09/2001,H,EPAGNEUL BRETON - SPANIEL BRETON,CAZA,CADIZ,LÍNEA DE LA CONCEPCIÓN (LA)
127979135A,28/08/2001,26/09/2001,H,EPAGNEUL BRETON - SPANIEL BRETON,CAZA,ZARAGOZA,ZARAGOZA
127621761A,08/08/2000,12/01/2001,M,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,LUJO Y COMPAÑIA,BURGOS,MIRANDA DE EBRO
127544543A,15/07/2000,02/02/2001,M,BOXER,LUJO Y COMPAÑIA,CACERES,NAVALMORAL DE LA MATA
127556133A,02/02/1999,02/02/2001,H,SHIBA INU,LUJO Y COMPAÑIA,CADIZ,ALGECIRAS
127639494A,04/07/2000,06/02/2001,M,PACHON NAVARRO,LUJO Y COMPAÑIA,LA RIOJA,ANGUCIANA
127633462A,14/09/2000,07/03/2001,H,BRACO ALEMAN - DRATHAR - DRAHTHAAR - DEUTSCH DRAHTHAAR,CAZA,BURGOS,ITERO DEL CASTILLO
985100009775174,25/07/2001,27/10/2001,M,SETTER INGLES - ENGLISH SETTER,CAZA,NAVARRA,ARANTZA
985100010034269,01/09/2001,03/12/2001,H,MASTIN ESPAÑOL,LUJO Y COMPAÑIA,NAVARRA,LESAKA
985100009790627,27/06/2001,27/10/2001,M,SAMOYEDO - SAMOIEDSKAÏA SABAKA,LUJO Y COMPAÑIA,NAVARRA,SESMA
985100010026668,01/01/2000,31/12/2001,H,SETTER INGLES - ENGLISH SETTER,CAZA,NAVARRA,GOIZUETA
724098101131248,07/07/2001,24/08/2001,H,GOLDEN RETRIEVER - COBRADOR DORADO,LUJO Y COMPAÑIA,NAVARRA,ETXAURI
977200001139187,07/07/1999,14/06/2000,H,BRACO ALEMAN - DRATHAR - DRAHTHAAR - DEUTSCH DRAHTHAAR,CAZA,CORUÑA (A),CARBALLO
724098101143832,07/07/2001,24/08/2001,M,GOLDEN RETRIEVER - COBRADOR DORADO,LUJO Y COMPAÑIA,ZARAGOZA,ZARAGOZA
724098101136201,18/06/2001,24/08/2001,H,GOLDEN RETRIEVER - COBRADOR DORADO,LUJO Y COMPAÑIA,ZARAGOZA,ZARAGOZA
724098101211282,07/08/2001,07/10/2001,M,YORKSHIRE TERRIER,LUJO Y COMPAÑIA,HUESCA,HUESCA
985100010046146,27/10/2001,14/12/2001,M,COCKER SPANIEL INGLES - ENGLISH COCKER SPANIEL,LUJO Y COMPAÑIA,CANTABRIA,LIENDO
985100010086153,15/08/2001,29/10/2001,M,COCKER SPANIEL INGLES - ENGLISH COCKER SPANIEL,LUJO Y COMPAÑIA,CANTABRIA,CASTRO-URDIALES
985100010026976,11/05/2001,29/10/2001,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,MADRID,MADRID
127625697A,07/11/2000,11/05/2001,M,CHIHUAHUA,LUJO Y COMPAÑIA,BURGOS,MIRANDA DE EBRO
985100010031770,25/10/2001,19/12/2001,H,DOGUE DE BORDEAUX - DOGO DE BURDEOS,LUJO Y COMPAÑIA,MALAGA,MARBELLA
985100010031388,25/10/2001,17/12/2001,M,DOGUE DE BORDEAUX - DOGO DE BURDEOS,LUJO Y COMPAÑIA,MALAGA,MARBELLA
131626150A,15/05/2000,28/01/2002,H,HUSKY SIBERIANO - SIBERIAN HUSKY,LUJO Y COMPAÑIA,BURGOS,CASTRILLO MATAJUDÍOS
127634616A,04/04/1999,08/04/2001,M,MASTIN ESPAÑOL,GUARDA DEFENSA Y UTILIDAD,BURGOS,VILLAFRANCA MONTES DE OCA
985100008486507,24/09/2001,24/12/2001,H,SETTER INGLES - ENGLISH SETTER,CAZA,NAVARRA,LEITZA
985100010069021,01/07/1998,17/12/2001,H,SETTER INGLES - ENGLISH SETTER,CAZA,NAVARRA,ARAITZ
131248360A,01/02/2001,28/12/2001,M,SABUESO ESPAÑOL,LUJO Y COMPAÑIA,NAVARRA,LAKUNTZA
127521317A,01/01/1998,18/06/2001,H,POINTER,CAZA,MADRID,CABRERA (LA)
127646552A,20/09/2000,31/03/2001,M,MASTIN ESPAÑOL,LUJO Y COMPAÑIA,BURGOS,CONDADO DE TREVIÑO
130921495A,01/09/1994,15/01/2001,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,GUARDA DEFENSA Y UTILIDAD,BURGOS,CASTRILLO MATAJUDÍOS
724098101151181,01/12/1999,09/08/2001,M,SABUESO ESPAÑOL,CAZA,BURGOS,MEDINA DE POMAR
724098101153811,01/08/1999,09/08/2001,M,GRIFON LEONADO DE BRETAÑA - FAWN BRITTANY GRIFFON - GRIFFON FAUVE DE BRETAGNE,CAZA,BURGOS,MEDINA DE POMAR
724098101174041,01/01/2001,04/02/2002,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,MURCIA,CEUTÍ
724098101159843,01/05/1997,13/08/2001,H,EPAGNEUL BRETON - SPANIEL BRETON,LUJO Y COMPAÑIA,BARCELONA,BARCELONA
724098101187002,01/01/1997,26/02/2002,H,CHOW CHOW  (OSITO DE PELUCHE),LUJO Y COMPAÑIA,BURGOS,VALLE DE MENA
724098101183594,01/01/1997,26/02/2002,H,CHOW CHOW  (OSITO DE PELUCHE),LUJO Y COMPAÑIA,BURGOS,VALLE DE MENA
985100009710149,30/04/2001,01/08/2001,H,BOBTAIL - OLD ENGLISH SHEEPDOG - ANTIGUO PERRO DE PASTOR INGLES,LUJO Y COMPAÑIA,TOLEDO,TOLEDO
127973573A,20/03/2001,30/06/2001,M,EPAGNEUL BRETON - SPANIEL BRETON,CAZA,ZAMORA,FRESNO DE LA RIBERA
127556350A,30/03/2001,02/06/2001,H,PERRO DE AGUA ESPAÑOL,LUJO Y COMPAÑIA,BURGOS,CASTRILLO MATAJUDÍOS
985100005989181,01/04/2001,17/12/2001,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,NAVARRA,ETXALAR
985100006186613,12/06/2001,26/10/2001,M,FELINO (SIN CODIFICAR),LUJO Y COMPAÑIA,BARCELONA,FÍGOLS
985100009863523,05/05/1999,26/11/2001,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,NAVARRA,BERA/VERA DE BIDASOA
131651477A,18/08/2001,15/02/2002,H,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,LUJO Y COMPAÑIA,BURGOS,BOZOÓ
131533474A,01/01/1999,01/03/2002,H,SETTER INGLES - ENGLISH SETTER,CAZA,LA RIOJA,ANGUCIANA
131536496A,01/09/2001,04/03/2002,H,FOX TERRIER - WIRE (PELO DURO) - WIRE FOX TERRIER,CAZA,LA RIOJA,CENICERO
127627586A,01/09/1999,02/07/2001,H,SETTER INGLES - ENGLISH SETTER,CAZA,TARRAGONA,BISBAL DEL PENEDÈS (LA)
131533323A,01/01/1999,18/03/2002,M,SABUESO ESPAÑOL,LUJO Y COMPAÑIA,CANTABRIA,REINOSA
127576193,06/01/2001,20/07/2001,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,BURGOS,CASTRILLO MATAJUDÍOS
127944183A,01/06/1998,20/07/2001,M,COCKER SPANIEL INGLES - ENGLISH COCKER SPANIEL,LUJO Y COMPAÑIA,GRANADA,MOTRIL
985100008482258,01/11/1998,14/11/2001,M,SETTER INGLES - ENGLISH SETTER,CAZA,LEON,LEÓN
985100010090067,16/10/2001,15/01/2002,H,SETTER GORDON ESCOCES - GORDON SETTER,CAZA,PALENCIA,PALENCIA
985100010020561,02/09/2001,17/12/2001,M,PASTOR BELGA - BELGIAN SHEPHERD DOG BERGER - PERRO OVEJERO BELGA - CHIEN DE BERGER BELGE,LUJO Y COMPAÑIA,MADRID,MADRID
985100010023010,02/01/2002,02/01/2002,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,TOLEDO,NAMBROCA
985100010115460,01/01/1999,29/12/2001,M,EPAGNEUL BRETON - SPANIEL BRETON,LUJO Y COMPAÑIA,SEGOVIA,GARCILLÁN
985120008828782,10/01/2000,19/02/2002,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,NAVARRA,PAMPLONA/IRUÑA
985100010035368,15/09/2001,16/02/2002,M,EPAGNEUL BRETON - SPANIEL BRETON,LUJO Y COMPAÑIA,CIUDAD REAL,CAMPO DE CRIPTANA
985120008800950,16/12/2001,06/03/2002,H,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,LUJO Y COMPAÑIA,CANTABRIA,MEDIO CUDEYO
127975793A,12/06/1997,28/08/2001,H,SETTER INGLES - ENGLISH SETTER,CAZA,BURGOS,CONDADO DE TREVIÑO
127936617A,29/06/2000,28/08/2001,M,PACHON NAVARRO,CAZA,OURENSE,CARBALLEDA DE AVIA
127932294A,18/03/2001,03/09/2001,M,EPAGNEUL BRETON - SPANIEL BRETON,LUJO Y COMPAÑIA,ZAMORA,FRESNO DE LA RIBERA
724098100268497,13/06/2000,26/10/2000,H,SETTER INGLES - ENGLISH SETTER,CAZA,LUGO,GUITIRIZ
985100009560873,02/04/2001,02/04/2001,M,ROTTWEILER,LUJO Y COMPAÑIA,BURGOS,VALLE DE MENA
985100009684262,01/01/2000,08/05/2001,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,BURGOS,VALLE DE MENA
724098100286674,24/06/2001,13/07/2001,M,SETTER INGLES - ENGLISH SETTER,CAZA,BURGOS,VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA
724098100287647,05/06/2001,01/08/2001,M,SETTER INGLES - ENGLISH SETTER,CAZA,BALEARS (ILLES),PALMA DE MALLORCA
122165443A,15/11/1998,31/03/1999,H,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,LUJO Y COMPAÑIA,CANTABRIA,RASINES
